school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Boston College,2014,13,7,6,0,,,6.2,4.9,28.7,23.7,Steve,Addazio
Boston College,2015,12,3,9,0,,,-0.1,4.7,18,12.5,Steve,Addazio
Boston College,2016,13,7,6,0,,,-2.4,-1.6,20.1,20.8,Steve,Addazio
Boston College,2017,13,7,6,0,,,11.2,4.6,25.2,19.9,Steve,Addazio
Boston College,2018,12,7,5,0,,,5.3,2.4,26.5,22.1,Steve,Addazio
Boston College,2019,12,6,6,0,,,-2.9,-5.7,31.3,35.4,Steve,Addazio
Colorado State,2020,4,1,3,0,,,-11.3,-6.5,24.2,30.5,Steve,Addazio
Indiana,2016,1,0,1,0,,,1.0,4.6,25.1,19.4,Tom,Allen
Indiana,2017,12,5,7,0,,,6.0,10.2,28.6,20.2,Tom,Allen
Indiana,2018,12,5,7,0,,,1.5,1.6,30.2,29.1,Tom,Allen
Indiana,2019,13,8,5,0,,,6.8,12.8,35.6,23.8,Tom,Allen
Indiana,2020,8,6,2,0,,12,13.2,11.2,33.6,22.6,Tom,Allen
Wisconsin,2014,1,1,0,0,14,13,15.3,20.8,38.7,18.1,Barry,Alvarez
Wisconsin,2014,13,10,3,0,14,13,15.3,20.8,38.7,18.1,Gary,Andersen
Oregon State,2015,12,2,10,0,,,-10.8,-10.1,25.9,35.3,Gary,Andersen
Oregon State,2016,12,4,8,0,,,1.6,-4.6,26.1,30,Gary,Andersen
Oregon State,2017,6,1,5,0,,,-16.5,-12.6,28.8,39.9,Gary,Andersen
Utah State,2019,13,7,6,0,,,-5.3,-4.3,26.2,31,Gary,Andersen
Utah State,2020,3,0,3,0,,,-19.2,-16.7,20.2,37,Gary,Andersen
Arkansas State,2014,13,7,6,0,,,-4.9,-0.3,31.5,31.6,Blake,Anderson
Arkansas State,2015,13,9,4,0,,,-3.2,0.5,30.9,28.4,Blake,Anderson
Arkansas State,2016,13,8,5,0,,,-1.2,-1.2,21.9,21.1,Blake,Anderson
Arkansas State,2017,12,7,5,0,,,-2.9,1.5,29.3,28.6,Blake,Anderson
Arkansas State,2018,13,8,5,0,,,-2.8,1.2,29.9,27.9,Blake,Anderson
Arkansas State,2019,13,8,5,0,,,-5.6,-2.9,30.1,34.2,Blake,Anderson
Arkansas State,2020,11,4,7,0,,,-7.3,-6.5,31.1,37.2,Blake,Anderson
Houston,2016,1,0,1,0,15,,5.4,10.1,30.8,21.7,Major,Applewhite
Houston,2017,12,7,5,0,,,2.7,7.7,32.3,25.8,Major,Applewhite
Houston,2018,13,8,5,0,,,-1.1,2.3,36.7,34.9,Major,Applewhite
Baylor,2020,9,2,7,0,,,1.8,1.3,25.6,24.2,Dave,Aranda
UNLV,2020,6,0,6,0,,,-19.2,-19.7,22,41.5,Marcus,Arroyo
Akron,2019,12,0,12,0,,,-34.7,-29.8,7.7,35.3,Tom,Arth
Akron,2020,6,1,5,0,,,,,,,Tom,Arth
Rutgers,2016,12,2,10,0,,,-10.9,-14.9,17.3,29.9,Chris,Ash
Rutgers,2017,12,4,8,0,,,-6.1,-5.5,23.3,29,Chris,Ash
Rutgers,2018,12,1,11,0,,,-12.9,-12.3,15,28.5,Chris,Ash
Rutgers,2019,4,1,3,0,,,-16.7,-14.6,17.4,31.8,Chris,Ash
Bowling Green,2014,14,8,6,0,,,-13.4,-5.4,27.7,33.5,Dino,Babers
Bowling Green,2015,13,10,3,0,,,8.5,7.5,39.4,32.1,Dino,Babers
Syracuse,2016,12,4,8,0,,,-6.9,-2.7,29.2,31.2,Dino,Babers
Syracuse,2017,12,4,8,0,,,1.0,4,29.3,27.3,Dino,Babers
Syracuse,2018,13,10,3,0,,,12.1,7.5,32.1,27.4,Dino,Babers
Syracuse,2019,12,5,7,0,22,,-6.5,-3,24.5,29.6,Dino,Babers
Syracuse,2020,11,1,10,0,,,,,,,Dino,Babers
Rice,2014,13,8,5,0,,,-3.4,-3.1,27.9,29.8,David,Bailiff
Rice,2015,12,5,7,0,,,-18.0,-14.6,24,37.9,David,Bailiff
Rice,2016,12,3,9,0,,,-20.6,-16.5,22.8,38.6,David,Bailiff
Rice,2017,12,1,11,0,,,-24.4,-23.6,19.2,40.9,David,Bailiff
Texas A&M,2017,1,0,1,0,,,5.4,9.4,33.1,25.2,Jeff,Banks
Virginia Tech,2014,13,7,6,0,,,6.9,7.8,25.7,17.2,Frank,Beamer
Virginia Tech,2015,13,7,6,0,,,6.9,11.4,30.8,19.7,Frank,Beamer
Kansas,2015,12,0,12,0,,,-18.8,-21.3,20.2,40.6,David,Beaty
Kansas,2016,12,2,10,0,,,-15.7,-15.9,21,36,David,Beaty
Kansas,2017,12,1,11,0,,,-17.4,-14.8,21.6,36.7,David,Beaty
Kansas,2018,12,3,9,0,,,-1.2,-10,21.9,31.9,David,Beaty
Illinois,2014,13,6,7,0,,,-4.0,0.4,28.3,27.9,Tim,Beckman
UMass,2019,12,1,11,0,,,-40.6,-34.6,15.3,49.3,Walt,Bell
UMass,2020,4,0,4,0,,,-26.2,-31.3,16.7,47.8,Walt,Bell
Louisiana Monroe,2014,12,4,8,0,,,-12.6,-10,18.4,28.8,Todd,Berry
Louisiana Monroe,2015,12,2,11,0,,,-25.0,-14.7,18.4,32.9,Todd,Berry
Arkansas,2014,13,7,6,0,,,20.4,12.2,32.4,19.4,Bret,Bielema
Arkansas,2015,13,8,5,0,18,,15.1,19.2,46.6,28,Bret,Bielema
Arkansas,2016,13,7,6,0,,,4.2,7.9,36.2,28.9,Bret,Bielema
Arkansas,2017,12,4,8,0,,,-4.7,2.1,34.1,31.8,Bret,Bielema
East Carolina,2018,1,0,1,0,,,-15.7,-14.9,18.3,34.2,David,Blackwell
Troy,2014,12,3,9,0,,,-19.3,-15.9,22.4,37.5,Larry,Blakeney
Tulsa,2014,12,2,10,0,,,-18.3,-15.8,23.6,37.7,Bill,Blankenship
Rice,2018,13,2,11,0,,,-24.0,-26.4,15,42.5,Mike,Bloomgren
Rice,2019,12,3,9,0,,,-13.5,-18,15.1,33.2,Mike,Bloomgren
Rice,2020,5,2,3,0,,,-3.0,-9.2,17.3,26.5,Mike,Bloomgren
Colorado State,2015,13,7,6,0,,,-8.5,0.5,29.4,30.2,Mike,Bobo
Colorado State,2016,13,7,6,0,,,1.2,0.8,33.5,34,Mike,Bobo
Colorado State,2017,13,7,6,0,,,-2.6,3.9,34.6,32.7,Mike,Bobo
Colorado State,2018,12,3,9,0,,,-14.9,-10.3,27.6,36.7,Mike,Bobo
Colorado State,2019,12,4,8,0,,,-9.9,-3.9,26.1,30.1,Mike,Bobo
Wyoming,2014,12,4,8,0,,,-11.2,-14,20,34.1,Craig,Bohl
Wyoming,2015,12,2,10,0,,,-18.9,-16.7,22.9,39.7,Craig,Bohl
Wyoming,2016,14,8,6,0,,,-1.9,-6.9,30.4,37.5,Craig,Bohl
Wyoming,2017,13,8,5,0,,,-2.3,-2.5,19.7,23.1,Craig,Bohl
Wyoming,2018,12,6,6,0,,,-2.4,1.9,25.1,23.7,Craig,Bohl
Wyoming,2019,13,8,5,0,,,2.5,-1.1,20.5,21.7,Craig,Bohl
Wyoming,2020,6,2,4,0,,,-0.4,-2.5,22.4,24.9,Craig,Bohl
Central Michigan,2015,13,7,6,0,,,-0.2,-3.1,26.4,27.2,John,Bonamego
Central Michigan,2016,13,6,7,0,,,-9.1,-6.1,27.6,31.4,John,Bonamego
Central Michigan,2017,13,8,5,0,,,-5.6,-8.6,21.4,28.2,John,Bonamego
Central Michigan,2018,12,1,11,0,,,-18.9,-20,9,28.7,John,Bonamego
Akron,2014,12,5,7,0,,,-14.0,-9.4,18.9,28.1,Terry,Bowden
Akron,2015,13,8,5,0,,,-5.4,-0.8,24.8,25.9,Terry,Bowden
Akron,2016,12,5,7,0,,,-11.6,-5.6,22.3,28.2,Terry,Bowden
Akron,2017,14,7,7,0,,,-8.9,-17.6,24.1,39.6,Terry,Bowden
Akron,2018,12,4,8,0,,,-14.5,-19.3,11.9,31,Terry,Bowden
San José State,2017,13,2,11,0,,,-26.7,-20,15.2,37.5,Brent,Brennan
San José State,2018,12,1,11,0,,,-14.1,-17.1,17.3,34.7,Brent,Brennan
San José State,2019,12,5,7,0,,,-7.5,-7.2,29.6,36.7,Brent,Brennan
San José State,2020,8,7,1,0,,24,8.6,0.1,30.4,30.4,Brent,Brennan
Baylor,2014,13,11,2,0,10,7,21.1,23.9,43,19.5,Art,Briles
Baylor,2015,13,10,3,0,4,13,17.8,19.5,45.1,24.1,Art,Briles
Western Kentucky,2014,13,8,5,0,,,0.6,-2.6,40.1,41.6,Jeff,Brohm
Western Kentucky,2015,14,12,2,0,,24,9.7,10.8,40.1,29.8,Jeff,Brohm
Western Kentucky,2016,13,10,3,0,,,10.1,15.5,40.7,25.8,Jeff,Brohm
Purdue,2017,13,7,6,0,,,10.8,5.8,28.6,22.1,Jeff,Brohm
Purdue,2018,13,6,7,0,,,7.6,6.5,37.2,30.8,Jeff,Brohm
Purdue,2019,12,4,8,0,,,-0.5,-0.7,30.8,31,Jeff,Brohm
Purdue,2020,6,2,4,0,,,-0.4,5.9,32.6,26.8,Jeff,Brohm
North Carolina,2019,13,7,6,0,,,7.7,10.3,35.1,24.6,Mack,Brown
North Carolina,2020,12,8,4,0,18,18,,,,,Mack,Brown
Troy,2015,12,4,8,0,,,-9.9,-7,24.5,31.9,Neal,Brown
Troy,2016,13,10,3,0,,,1.6,1.1,25.7,25.1,Neal,Brown
Troy,2017,13,11,2,0,,,1.2,1.6,27.5,23.5,Neal,Brown
Troy,2018,13,10,3,0,,,-1.4,2.6,26.4,25.6,Neal,Brown
West Virginia,2019,12,5,7,0,,,-1.7,-7,22.9,29.1,Neal,Brown
West Virginia,2020,10,6,4,0,,,5.9,8.5,27.9,19.4,Neal,Brown
Air Force,2014,13,10,3,0,,,-1.2,-1.4,26.2,29.5,Troy,Calhoun
Air Force,2015,14,8,6,0,,,0.2,4.7,32.6,29.2,Troy,Calhoun
Air Force,2016,13,10,3,0,,,1.2,4.4,33,29.9,Troy,Calhoun
Air Force,2017,12,5,7,0,,,-7.8,-11,28.8,40.5,Troy,Calhoun
Air Force,2018,12,5,7,0,,,-1.8,-1.8,29.2,31.2,Troy,Calhoun
Air Force,2019,13,11,2,0,,22,10.2,12.1,36.2,25.8,Troy,Calhoun
Air Force,2020,6,3,3,0,,,4.7,-5.6,24.1,29.8,Troy,Calhoun
Rutgers,2019,8,1,7,0,,,-16.7,-14.6,17.4,31.8,Nunzio,Campanile
Toledo,2014,13,9,4,0,,,-4.1,2.3,38,35.2,Matt,Campbell
Toledo,2015,11,9,2,0,,,10.2,7.7,30.4,21.8,Matt,Campbell
Iowa State,2016,12,3,9,0,,,-1.7,0.7,27,28.5,Matt,Campbell
Iowa State,2017,13,8,5,0,,,14.3,7.5,38.2,30.7,Matt,Campbell
Iowa State,2018,13,8,5,0,,,11.4,7.9,29.9,21.5,Matt,Campbell
Iowa State,2019,13,7,6,0,21,,13.6,12.6,31.8,19.5,Matt,Campbell
Iowa State,2020,12,9,3,0,23,9,14.2,13.3,34.5,21.1,Matt,Campbell
South Alabama,2018,12,3,9,0,,,-22.1,-17.7,24.5,42,Steve,Campbell
South Alabama,2019,12,2,10,0,,,-17.2,-20.3,16.3,34,Steve,Campbell
South Alabama,2020,11,4,7,0,,,-8.5,-11.3,22.5,33.7,Steve,Campbell
Maryland,2018,12,5,7,0,,,4.0,3,27.6,25.9,Matt,Canada
Toledo,2015,1,1,0,0,,,10.2,7.7,30.4,21.8,Jason,Candle
Toledo,2016,13,9,4,0,,,5.0,12.3,40.6,27.4,Jason,Candle
Toledo,2017,14,11,3,0,,,3.8,6.6,32.2,25.7,Jason,Candle
Toledo,2018,13,7,6,0,,,-1.6,2,35.2,34.4,Jason,Candle
Toledo,2019,12,6,6,0,,,-16.2,-13.7,25.6,38.4,Jason,Candle
Toledo,2020,6,4,2,0,,,,,,,Jason,Candle
San José State,2014,12,3,9,0,,,-15.0,-11.5,22.1,30.5,Ron,Caragher
San José State,2015,13,6,7,0,,,-6.9,-4.5,26.8,32,Ron,Caragher
San José State,2016,12,4,8,0,,,-17.2,-13.6,22.4,36.7,Ron,Caragher
Northern Illinois,2014,14,11,3,0,,,-4.8,-0.6,29.8,29.6,Rod,Carey
Northern Illinois,2015,14,8,6,0,,,-0.1,-0.9,26.1,25.4,Rod,Carey
Northern Illinois,2016,12,5,7,0,,,-3.2,-2.4,32,32.7,Rod,Carey
Northern Illinois,2017,13,8,5,0,,,-0.1,-1.4,21,20.5,Rod,Carey
Northern Illinois,2018,14,8,6,0,,,-4.5,-2.7,19.1,20.8,Rod,Carey
Temple,2019,13,8,5,0,,,-2.7,3.2,24.6,20.8,Rod,Carey
Temple,2020,7,1,6,0,,,,,,,Rod,Carey
Coastal Carolina,2017,12,3,9,0,,,-17.4,,,,Jamey,Chadwell
Coastal Carolina,2019,12,5,7,0,,,-11.1,-12.8,23.4,35.3,Jamey,Chadwell
Coastal Carolina,2020,12,11,1,0,,14,13.9,6.6,33.7,27.3,Jamey,Chadwell
Hawai'i,2014,13,4,9,0,,,-11.7,-15,15.7,30.6,Norm,Chow
Hawai'i,2015,9,2,7,0,,,-21.7,-16.3,16.6,35.1,Norm,Chow
Pittsburgh,2014,12,6,6,0,,,2.8,14.1,37.4,25.3,Paul,Chryst
Wisconsin,2015,13,10,3,0,20,21,10.0,15.1,27,12.4,Paul,Chryst
Wisconsin,2016,14,11,3,0,,9,17.9,16.1,30.5,14.8,Paul,Chryst
Wisconsin,2017,14,13,1,0,9,7,24.7,26.8,37.4,11.6,Paul,Chryst
Wisconsin,2018,13,8,5,0,4,,8.8,15.5,39.3,21.6,Paul,Chryst
Wisconsin,2019,14,10,4,0,19,11,19.9,20.3,37.7,16.4,Paul,Chryst
Wisconsin,2020,7,4,3,0,12,,9.5,26.5,38.7,12.2,Paul,Chryst
Minnesota,2015,6,2,4,0,,,0.2,8.1,28.1,22.4,Tracy,Claeys
Minnesota,2016,13,9,4,0,,,9.0,12.6,27.8,17.5,Tracy,Claeys
UAB,2014,12,6,6,0,,,0.5,-4.2,26,32.8,Bill,Clark
UAB,2017,13,8,5,0,,,-13.6,,,,Bill,Clark
UAB,2018,14,11,3,0,,,0.6,-0.3,24.1,24.4,Bill,Clark
UAB,2019,14,9,5,0,,,-7.9,-1.4,18.3,20.2,Bill,Clark
UAB,2020,9,6,3,0,,,4.1,6.3,24.7,18.7,Bill,Clark
Appalachian State,2019,1,1,0,0,,19,11.5,11.3,34.3,23.2,Shawn,Clark
Appalachian State,2020,12,9,3,0,,,8.0,10.3,33,22.6,Shawn,Clark
Wake Forest,2014,12,3,9,0,,,-10.8,-7.8,13.1,22.6,Dave,Clawson
Wake Forest,2015,12,3,9,0,,,-3.5,-4.5,19.8,25.2,Dave,Clawson
Wake Forest,2016,13,7,6,0,,,0.2,-0.6,21.5,22.9,Dave,Clawson
Wake Forest,2017,13,8,5,0,,,13.8,10.5,35.7,25.1,Dave,Clawson
Wake Forest,2018,13,7,6,0,,,0.8,3.6,31.2,28.1,Dave,Clawson
Wake Forest,2019,13,8,5,0,,,0.6,2,29.4,28.6,Dave,Clawson
Wake Forest,2020,9,4,5,0,,,,,,,Dave,Clawson
UT San Antonio,2014,12,4,8,0,,,-12.8,-3.4,16.6,22.1,Larry,Coker
UT San Antonio,2015,12,3,9,0,,,-18.9,-17.7,19.3,36.6,Larry,Coker
Temple,2017,13,7,6,0,,,-1.6,0.5,25.1,24.1,Geoff,Collins
Temple,2018,12,8,4,0,,,3.7,2.9,28.1,23.9,Geoff,Collins
Georgia Tech,2019,12,3,9,0,,,-10.8,-12,18.8,28.9,Geoff,Collins
Georgia Tech,2020,10,3,7,0,,,,,,,Geoff,Collins
Eastern Michigan,2014,12,2,10,0,,,-27.1,-25.9,17.8,42.7,Chris,Creighton
Eastern Michigan,2015,12,1,11,0,,,-22.5,-19.7,25.6,45.5,Chris,Creighton
Eastern Michigan,2016,13,7,6,0,,,-8.7,-8.2,28.3,36.6,Chris,Creighton
Eastern Michigan,2017,12,5,7,0,,,-4.2,-5.3,22,26.4,Chris,Creighton
Eastern Michigan,2018,13,7,6,0,,,-3.4,-2,25.5,26.1,Chris,Creighton
Eastern Michigan,2019,13,6,7,0,,,-9.3,-8.6,29.3,37.8,Chris,Creighton
Eastern Michigan,2020,6,2,4,0,,,,,,,Chris,Creighton
Oregon,2018,13,9,4,0,24,,5.2,7.3,34.7,25.8,Mario,Cristobal
Oregon,2019,14,12,2,0,11,5,21.0,19,35.6,15.5,Mario,Cristobal
Oregon,2020,7,4,3,0,9,,,,,,Mario,Cristobal
Illinois,2015,12,5,7,0,,,-1.5,2.7,22.7,20.2,Bill,Cubit
Duke,2014,13,9,4,0,,,7.7,7,29.6,25.1,David,Cutcliffe
Duke,2015,13,8,5,0,,,3.0,3.4,27,21.5,David,Cutcliffe
Duke,2016,12,4,8,0,,,-1.0,-2.8,26.8,27.6,David,Cutcliffe
Duke,2017,13,7,6,0,,,8.3,6.1,25.5,19.2,David,Cutcliffe
Duke,2018,13,8,5,0,,,6.4,5,30.5,25,David,Cutcliffe
Duke,2019,12,5,7,0,,,-2.2,-1.8,19.7,23,David,Cutcliffe
Duke,2020,11,2,9,0,,,,,,,David,Cutcliffe
Michigan State,2014,13,11,2,0,8,5,20.0,24.1,42.5,17.9,Mark,Dantonio
Michigan State,2015,14,12,2,0,5,6,14.0,15.6,35.7,20.6,Mark,Dantonio
Michigan State,2016,12,3,9,0,12,,1.1,7.4,31,24.1,Mark,Dantonio
Michigan State,2017,13,10,3,0,,15,12.8,13.8,27.7,15.1,Mark,Dantonio
Michigan State,2018,13,7,6,0,11,,6.2,11.5,22,10.8,Mark,Dantonio
Michigan State,2019,13,7,6,0,18,,5.1,7.2,24.4,16.1,Mark,Dantonio
New Mexico,2014,12,4,8,0,,,-13.4,-15,28.4,42.4,Bob,Davie
New Mexico,2015,13,7,6,0,,,-10.5,-8.7,24.9,34.8,Bob,Davie
New Mexico,2016,13,9,4,0,,,-5.3,-5.1,32.2,38.6,Bob,Davie
New Mexico,2017,12,3,9,0,,,-16.2,-12.4,20.8,34.2,Bob,Davie
New Mexico,2018,12,3,9,0,,,-15.4,-9.5,23.8,35.7,Bob,Davie
New Mexico,2019,12,2,10,0,,,-17.6,-17,20.6,39.2,Bob,Davie
Florida International,2017,13,8,5,0,,,-10.9,-10.4,24,35,Butch,Davis
Florida International,2018,13,9,4,0,,,-3.4,-7.4,26.7,34.7,Butch,Davis
Florida International,2019,13,6,7,0,,,-11.5,-7,22,29.4,Butch,Davis
Florida International,2020,5,0,5,0,,,-17.8,-10.7,21.6,32.4,Butch,Davis
Ohio State,2018,3,3,0,0,5,,18.1,24.1,44.4,21.2,Ryan,Day
Ohio State,2019,14,13,1,0,5,3,32.8,35.4,44.4,10.6,Ryan,Day
Ohio State,2020,8,7,1,0,2,2,21.6,28.4,45.3,16.7,Ryan,Day
Fresno State,2020,6,3,3,0,,,-6.7,-5.5,29.3,34.8,Kalen,DeBoer
Fresno State,2014,14,6,8,0,,,-10.4,-6.9,24.5,31,Tim,DeRuyter
Fresno State,2015,12,3,9,0,,,-17.9,-12.6,19.6,32.8,Tim,DeRuyter
Fresno State,2016,8,1,7,0,,,-20.5,-16.9,16.4,33.9,Tim,DeRuyter
Connecticut,2014,12,2,12,0,,,-20.4,-14.1,14.6,27.7,Bob,Diaco
Connecticut,2015,13,6,7,0,,,-2.5,-6.3,18.1,23.9,Bob,Diaco
Connecticut,2016,12,3,9,0,,,-17.5,-11.6,19.8,30.9,Bob,Diaco
Miami,2019,13,6,7,0,,,1.1,9.6,26,15.6,Manny,Diaz
Miami,2020,11,8,3,0,,22,,,,,Manny,Diaz
UTEP,2018,12,1,11,0,,,-24.7,-26.6,12.1,37.1,Dana,Dimel
UTEP,2019,12,1,11,0,,,-28.1,-25.6,18,43.5,Dana,Dimel
UTEP,2020,8,3,5,0,,,-17.2,-18.6,17.9,36.2,Dana,Dimel
NC State,2014,13,8,5,0,,,1.9,8.1,34.1,27.1,Dave,Doeren
NC State,2015,13,7,6,0,,,6.7,9.6,36.2,24.7,Dave,Doeren
NC State,2016,13,7,6,0,,,7.6,9.4,30.5,19.3,Dave,Doeren
NC State,2017,13,9,4,0,,23,13.7,12.9,38,23.3,Dave,Doeren
NC State,2018,13,9,4,0,,,7.9,9.4,35.1,26.7,Dave,Doeren
